DivisionCode,DivisionName,DistrictCode,DistrictName,UpazillaCode,UpazillaName
40,Khulna,1,Bagerhat ,8,Bagerhat Sadar 
40,Khulna,1,Bagerhat ,58,Mongla 
40,Khulna,1,Bagerhat ,60,Morrelganj 
20,Chittagong,3,Bandarban ,14,Bandarban Sadar 
20,Chittagong,3,Bandarban ,51,Lama 
10,Barisal,4,Barguna ,9,Amtali 
10,Barisal,4,Barguna ,28,Barguna Sadar 
10,Barisal,4,Barguna ,47,Betagi 
10,Barisal,4,Barguna ,85,Patharghata 
10,Barisal,6,Barisal ,7,Bakerganj 
10,Barisal,6,Barisal ,10,Banari Para 
10,Barisal,6,Barisal ,32,Gaurnadi 
10,Barisal,6,Barisal ,51,Barisal Sadar 
10,Barisal,6,Barisal ,62,Mehendiganj 
10,Barisal,6,Barisal ,69,Muladi 
10,Barisal,9,Bhola ,18,Bhola Sadar 
10,Barisal,9,Bhola ,21,Burhanuddin 
10,Barisal,9,Bhola ,25,Char Fasson 
10,Barisal,9,Bhola ,29,Daulat Khan 
10,Barisal,9,Bhola ,54,Lalmohan 
50,Rajshahi,10,Bogra ,6,Adamdighi 
50,Rajshahi,10,Bogra ,20,Bogra Sadar 
50,Rajshahi,10,Bogra ,27,Dhunat 
50,Rajshahi,10,Bogra ,33,Dhupchanchia 
50,Rajshahi,10,Bogra ,40,Gabtali 
50,Rajshahi,10,Bogra ,54,Kahaloo 
50,Rajshahi,10,Bogra ,67,Nandigram 
50,Rajshahi,10,Bogra ,81,Sariakandi 
50,Rajshahi,10,Bogra ,85,Shajahanpur 
50,Rajshahi,10,Bogra ,88,Sherpur 
50,Rajshahi,10,Bogra ,94,Shibganj 
50,Rajshahi,10,Bogra ,95,Sonatola 
20,Chittagong,12,Brahmanbaria ,2,Akhaura 
20,Chittagong,12,Brahmanbaria ,13,Brahmanbaria Sadar 
20,Chittagong,12,Brahmanbaria ,63,Kasba 
20,Chittagong,12,Brahmanbaria ,85,Nabinagar 
20,Chittagong,13,Chandpur ,22,Chandpur Sadar 
20,Chittagong,13,Chandpur ,45,Faridganj 
20,Chittagong,13,Chandpur ,49,Hajiganj 
20,Chittagong,13,Chandpur ,58,Kachua 
20,Chittagong,13,Chandpur ,76,Matlab 
20,Chittagong,13,Chandpur ,79,Matlab Uttar 
20,Chittagong,13,Chandpur ,95,Shahrasti 
50,Rajshahi,70,Chapai Nawabganj ,37,Gomastapur 
50,Rajshahi,70,Chapai Nawabganj ,56,Nachole 
50,Rajshahi,70,Chapai Nawabganj ,66,Chapai Nawabganj Sadar 
50,Rajshahi,70,Chapai Nawabganj ,88,Shibganj 
20,Chittagong,15,Chittagong ,6,Bayejid Bostami Thana 
20,Chittagong,15,Chittagong ,8,Banshkhali 
20,Chittagong,15,Chittagong ,10,Bakalia Thana 
20,Chittagong,15,Chittagong ,18,Chandanaish  
20,Chittagong,15,Chittagong ,19,Chandgaon Thana 
20,Chittagong,15,Chittagong ,20,Chittagong Port Thana 
20,Chittagong,15,Chittagong ,28,Double Mooring Thana 
20,Chittagong,15,Chittagong ,35,Halishahar Thana 
20,Chittagong,15,Chittagong ,41,Kotwali Thana 
20,Chittagong,15,Chittagong ,43,Khulshi Thana 
20,Chittagong,15,Chittagong ,53,Mirsharai 
20,Chittagong,15,Chittagong ,55,Pahartali Thana 
20,Chittagong,15,Chittagong ,57,Panchlaish Thana 
20,Chittagong,15,Chittagong ,61,Patiya 
20,Chittagong,15,Chittagong ,65,Patenga Thana 
20,Chittagong,15,Chittagong ,70,Rangunia 
20,Chittagong,15,Chittagong ,74,Raozan 
20,Chittagong,15,Chittagong ,78,Sandwip 
20,Chittagong,15,Chittagong ,82,Satkania 
20,Chittagong,15,Chittagong ,86,Sitakunda 
40,Khulna,18,Chuadanga ,7,Alamdanga 
40,Khulna,18,Chuadanga ,23,Chuadanga Sadar 
40,Khulna,18,Chuadanga ,31,Damurhuda 
40,Khulna,18,Chuadanga ,55,Jiban Nagar 
20,Chittagong,19,Comilla ,9,Barura 
20,Chittagong,19,Comilla ,27,Chandina 
20,Chittagong,19,Comilla ,31,Chauddagram 
20,Chittagong,19,Comilla ,33,Comilla Sadar Dakshin 
20,Chittagong,19,Comilla ,36,Daudkandi 
20,Chittagong,19,Comilla ,40,Debidwar 
20,Chittagong,19,Comilla ,54,Homna 
20,Chittagong,19,Comilla ,67,Comilla Adarsha Sadar 
20,Chittagong,19,Comilla ,72,Laksam 
20,Chittagong,19,Comilla ,87,Nangalkot 
20,Chittagong,22,Cox's Bazar ,16,Chakoria 
20,Chittagong,22,Cox's Bazar ,24,Cox's Bazar Sadar 
20,Chittagong,22,Cox's Bazar ,49,Maheshkhali 
20,Chittagong,22,Cox's Bazar ,90,Teknaf 
30,Dhaka,26,Dhaka ,2,Adabor Thana 
30,Dhaka,26,Dhaka ,4,Badda Thana 
30,Dhaka,26,Dhaka ,5,Bangshal Thana 
30,Dhaka,26,Dhaka ,6,Biman Bandar Thana 
30,Dhaka,26,Dhaka ,8,Cantonment Thana 
30,Dhaka,26,Dhaka ,9,Chak Bazar Thana 
30,Dhaka,26,Dhaka ,11,Darus Salam Thana 
30,Dhaka,26,Dhaka ,14,Dhamrai 
30,Dhaka,26,Dhaka ,16,Dhanmondi Thana 
30,Dhaka,26,Dhaka ,18,Dohar 
30,Dhaka,26,Dhaka ,24,Gendaria Thana 
30,Dhaka,26,Dhaka ,26,Gulshan Thana 
30,Dhaka,26,Dhaka ,28,Hazaribagh Thana 
30,Dhaka,26,Dhaka ,29,Jatrabari Thana 
30,Dhaka,26,Dhaka ,30,Kafrul Thana 
30,Dhaka,26,Dhaka ,32,Kadamtali Thana 
30,Dhaka,26,Dhaka ,33,Kalabagan Thana 
30,Dhaka,26,Dhaka ,36,Khilgaon Thana 
30,Dhaka,26,Dhaka ,37,Khilkhet Thana 
30,Dhaka,26,Dhaka ,40,Kotwali Thana 
30,Dhaka,26,Dhaka ,42,Lalbagh Thana 
30,Dhaka,26,Dhaka ,48,Mirpur Thana 
30,Dhaka,26,Dhaka ,50,Mohammadpur Thana 
30,Dhaka,26,Dhaka ,54,Motijheel Thana 
30,Dhaka,26,Dhaka ,63,New Market Thana 
30,Dhaka,26,Dhaka ,64,Pallabi Thana 
30,Dhaka,26,Dhaka ,65,Paltan Thana 
30,Dhaka,26,Dhaka ,66,Ramna Thana 
30,Dhaka,26,Dhaka ,67,Rampura Thana 
30,Dhaka,26,Dhaka ,68,Sabujbagh Thana 
30,Dhaka,26,Dhaka ,72,Savar 
30,Dhaka,26,Dhaka ,74,Shah Ali Thana 
30,Dhaka,26,Dhaka ,75,Shahbagh Thana 
30,Dhaka,26,Dhaka ,76,Shyampur Thana 
30,Dhaka,26,Dhaka ,80,Sher-E-Bangla Nagar Thana 
30,Dhaka,26,Dhaka ,88,Sutrapur Thana 
30,Dhaka,26,Dhaka ,90,Tejgaon Thana 
30,Dhaka,26,Dhaka ,92,Tejgaon Ind. Area Thana 
30,Dhaka,26,Dhaka ,95,Uttara Thana 
55,Rangpur,27,Dinajpur ,10,Birampur 
55,Rangpur,27,Dinajpur ,12,Birganj 
55,Rangpur,27,Dinajpur ,21,Bochaganj 
55,Rangpur,27,Dinajpur ,38,Fulbari 
55,Rangpur,27,Dinajpur ,43,Ghoraghat 
55,Rangpur,27,Dinajpur ,47,Hakimpur 
55,Rangpur,27,Dinajpur ,64,Dinajpur Sadar 
55,Rangpur,27,Dinajpur ,77,Parbatipur 
30,Dhaka,29,Faridpur ,10,Bhanga 
30,Dhaka,29,Faridpur ,18,Boalmari 
30,Dhaka,29,Faridpur ,47,Faridpur Sadar 
30,Dhaka,29,Faridpur ,62,Nagarkanda 
20,Chittagong,30,Feni ,14,Chhagalnaiya 
20,Chittagong,30,Feni ,25,Daganbhuiyan 
20,Chittagong,30,Feni ,29,Feni Sadar 
20,Chittagong,30,Feni ,51,Parshuram 
20,Chittagong,30,Feni ,94,Sonagazi 
55,Rangpur,32,Gaibandha ,24,Gaibandha Sadar 
55,Rangpur,32,Gaibandha ,30,Gobindaganj 
55,Rangpur,32,Gaibandha ,91,Sundarganj 
30,Dhaka,33,Gazipur ,30,Gazipur Sadar 
30,Dhaka,33,Gazipur ,32,Kaliakair 
30,Dhaka,33,Gazipur ,34,Kaliganj 
30,Dhaka,33,Gazipur ,86,Sreepur 
30,Dhaka,35,Gopalganj ,32,Gopalganj Sadar 
30,Dhaka,35,Gopalganj ,51,Kotalipara 
30,Dhaka,35,Gopalganj ,58,Muksudpur 
30,Dhaka,35,Gopalganj ,91,Tungipara 
60,Sylhet,36,Habiganj ,2,Ajmiriganj 
60,Sylhet,36,Habiganj ,26,Chunarughat 
60,Sylhet,36,Habiganj ,44,Habiganj Sadar 
60,Sylhet,36,Habiganj ,71,Madhabpur 
60,Sylhet,36,Habiganj ,77,Nabiganj 
30,Dhaka,39,Jamalpur ,15,Dewanganj 
30,Dhaka,39,Jamalpur ,29,Islampur 
30,Dhaka,39,Jamalpur ,36,Jamalpur Sadar 
30,Dhaka,39,Jamalpur ,58,Madarganj 
30,Dhaka,39,Jamalpur ,61,Melandaha 
30,Dhaka,39,Jamalpur ,85,Sarishabari 
40,Khulna,41,Jessore ,4,Abhaynagar 
40,Khulna,41,Jessore ,9,Bagherpara 
40,Khulna,41,Jessore ,11,Chaugachha 
40,Khulna,41,Jessore ,23,Jhikargachha 
40,Khulna,41,Jessore ,38,Keshabpur 
40,Khulna,41,Jessore ,47,Jessore Sadar 
40,Khulna,41,Jessore ,61,Manirampur 
40,Khulna,41,Jessore ,90,Sharsha 
10,Barisal,42,Jhalokati ,40,Jhalokati Sadar 
10,Barisal,42,Jhalokati ,73,Nalchity 
40,Khulna,44,Jhenaidah ,14,Harinakundu 
40,Khulna,44,Jhenaidah ,19,Jhenaidah Sadar 
40,Khulna,44,Jhenaidah ,33,Kaliganj 
40,Khulna,44,Jhenaidah ,42,Kotchandpur 
40,Khulna,44,Jhenaidah ,71,Maheshpur 
40,Khulna,44,Jhenaidah ,80,Shailkupa 
50,Rajshahi,38,Joypurhat ,13,Akkelpur 
50,Rajshahi,38,Joypurhat ,47,Joypurhat Sadar 
50,Rajshahi,38,Joypurhat ,58,Kalai 
50,Rajshahi,38,Joypurhat ,74,Panchbibi 
20,Chittagong,46,Khagrachhari ,49,Khagrachhari Sadar 
20,Chittagong,46,Khagrachhari ,70,Matiranga 
20,Chittagong,46,Khagrachhari ,80,Ramgarh 
40,Khulna,47,Khulna ,17,Dacope 
40,Khulna,47,Khulna ,21,Daulatpur Thana 
40,Khulna,47,Khulna ,45,Khalishpur Thana 
40,Khulna,47,Khulna ,48,Khan Jahan Ali Thana 
40,Khulna,47,Khulna ,51,Khulna Sadar Thana 
40,Khulna,47,Khulna ,64,Paikgachha 
40,Khulna,47,Khulna ,85,Sonadanga Thana 
30,Dhaka,48,Kishoreganj ,6,Bajitpur 
30,Dhaka,48,Kishoreganj ,11,Bhairab 
30,Dhaka,48,Kishoreganj ,27,Hossainpur 
30,Dhaka,48,Kishoreganj ,42,Karimganj 
30,Dhaka,48,Kishoreganj ,45,Katiadi 
30,Dhaka,48,Kishoreganj ,49,Kishoreganj Sadar 
30,Dhaka,48,Kishoreganj ,54,Kuliar Char 
30,Dhaka,48,Kishoreganj ,79,Pakundia 
55,Rangpur,49,Kurigram ,52,Kurigram Sadar 
55,Rangpur,49,Kurigram ,61,Nageshwari 
55,Rangpur,49,Kurigram ,94,Ulipur 
40,Khulna,50,Kushtia ,15,Bheramara 
40,Khulna,50,Kushtia ,63,Khoksa 
40,Khulna,50,Kushtia ,71,Kumarkhali 
40,Khulna,50,Kushtia ,79,Kushtia Sadar 
40,Khulna,50,Kushtia ,94,Mirpur 
20,Chittagong,51,Lakshmipur ,43,Lakshmipur Sadar 
20,Chittagong,51,Lakshmipur ,58,Roypur 
20,Chittagong,51,Lakshmipur ,65,Ramganj 
20,Chittagong,51,Lakshmipur ,73,Ramgati 
55,Rangpur,52,Lalmonirhat ,55,Lalmonirhat Sadar 
55,Rangpur,52,Lalmonirhat ,70,Patgram 
30,Dhaka,54,Madaripur ,40,Kalkini 
30,Dhaka,54,Madaripur ,54,Madaripur Sadar 
30,Dhaka,54,Madaripur ,87,Shib Char 
40,Khulna,55,Magura ,57,Magura Sadar 
30,Dhaka,56,Manikganj ,46,Manikganj Sadar 
30,Dhaka,56,Manikganj ,82,Singair 
60,Sylhet,58,Maulvibazar ,14,Barlekha 
60,Sylhet,58,Maulvibazar ,56,Kamalganj 
60,Sylhet,58,Maulvibazar ,65,Kulaura 
60,Sylhet,58,Maulvibazar ,74,Maulvibazar Sadar 
60,Sylhet,58,Maulvibazar ,83,Sreemangal 
40,Khulna,57,Meherpur ,47,Gangni 
40,Khulna,57,Meherpur ,87,Meherpur Sadar 
30,Dhaka,59,Munshiganj ,56,Munshiganj Sadar 
30,Dhaka,61,Mymensingh ,13,Bhaluka 
30,Dhaka,61,Mymensingh ,20,Fulbaria 
30,Dhaka,61,Mymensingh ,22,Gaffargaon 
30,Dhaka,61,Mymensingh ,23,Gauripur 
30,Dhaka,61,Mymensingh ,31,Ishwarganj 
30,Dhaka,61,Mymensingh ,52,Mymensingh Sadar 
30,Dhaka,61,Mymensingh ,65,Muktagachha 
30,Dhaka,61,Mymensingh ,72,Nandail 
30,Dhaka,61,Mymensingh ,81,Phulpur 
30,Dhaka,61,Mymensingh ,94,Trishal 
50,Rajshahi,64,Naogaon ,28,Dhamoirhat 
50,Rajshahi,64,Naogaon ,60,Naogaon Sadar 
50,Rajshahi,64,Naogaon ,75,Patnitala 
40,Khulna,65,Narail ,28,Kalia 
40,Khulna,65,Narail ,52,Lohagara 
40,Khulna,65,Narail ,76,Narail Sadar 
30,Dhaka,67,Narayanganj ,4,Sonargaon 
30,Dhaka,67,Narayanganj ,6,Bandar 
30,Dhaka,67,Narayanganj ,58,Narayanganj Sadar 
30,Dhaka,67,Narayanganj ,68,Rupganj 
30,Dhaka,68,Narsingdi ,52,Manohardi 
30,Dhaka,68,Narsingdi ,60,Narsingdi Sadar 
30,Dhaka,68,Narsingdi ,63,Palash 
30,Dhaka,68,Narsingdi ,64,Roypura 
30,Dhaka,68,Narsingdi ,76,Shibpur 
50,Rajshahi,69,Natore ,9,Bagatipara 
50,Rajshahi,69,Natore ,15,Baraigram 
50,Rajshahi,69,Natore ,41,Gurudaspur 
50,Rajshahi,69,Natore ,44,Lalpur 
50,Rajshahi,69,Natore ,63,Natore Sadar 
50,Rajshahi,69,Natore ,91,Singra 
30,Dhaka,72,Netrakona ,18,Durgapur 
30,Dhaka,72,Netrakona ,47,Kendua 
30,Dhaka,72,Netrakona ,56,Madan 
30,Dhaka,72,Netrakona ,63,Mohanganj 
30,Dhaka,72,Netrakona ,74,Netrokona Sadar 
55,Rangpur,73,Nilphamari ,15,Domar 
