DistrictCode,DistrictName,DivisionCode,DivisionName,InputDivision,MeanFuzzRation,UpazillaName,Geo,UpazillaCode,FuzzRatio,FuzzRatioDivision,Meta
41,Jessore,40,Khulna,Khulna,97.5,Abhaynagar,Abhaynagar,4,95,100,MATCH
41,Jessore,40,Khulna,Khulna,47.5,Abhaynagar,Abhaynagar,4,95,0,MATCH
10,Bogra,50,Rajshahi,Rajshahi,97.5,Adamdighi,Adamdighi,6,95,100,MATCH
10,Bogra,50,Rajshahi,Rajshahi,47.5,Adamdighi,Adamdighi,6,95,0,MATCH
30,Feni,20,Chittagong,Chittagong,73.5,Parshuram,Adarsho,51,47,100,MISS2 (geo from Geo var missing)
88,Sirajganj,50,Rajshahi,Chittagong,28.5,Tarash,Adarsho,89,57,0,MISS2 (geo from Geo var missing)
52,Lalmonirhat,55,Rangpur,Rangpur,97,Aditmari,Aditmari,2,94,100,MATCH
6,Barisal,10,Barisal,Barisal,97.5,Agailjhara,Agailjhara,2,95,100,MATCH
12,Brahmanbaria,20,Chittagong,Chittagong,96.5,Akhaura,Akhaura,2,93,100,MATCH
38,Joypurhat,50,Rajshahi,Rajshahi,97,Akkelpur,Akkelpur,13,94,100,MATCH
18,Chuadanga,40,Khulna,Khulna,97.5,Alamdanga,Alamdanga,7,95,100,MATCH
18,Chuadanga,40,Khulna,Khulna,47.5,Alamdanga,Alamdanga,7,95,0,MATCH
3,Bandarban,20,Chittagong,Chittagong,97,Alikadam,Alikadam,4,94,100,MATCH
3,Bandarban,20,Chittagong,Chittagong,47,Alikadam,Alikadam,4,94,0,MATCH
29,Faridpur,30,Dhaka,Dhaka,90,Alfadanga,Alphadanga,3,80,100,MATCH
18,Chuadanga,40,Khulna,Dhaka,40,Alamdanga,Alphadanga,7,80,0,MISSMATCH
4,Barguna,10,Barisal,Barisal,96,Amtali,Amtali,9,92,100,MATCH
4,Barguna,10,Barisal,Barisal,46,Amtali,Amtali,9,92,0,MATCH
15,Chittagong,20,Chittagong,Chittagong,93,Anowara,Anwara,4,86,100,MATCH
15,Chittagong,20,Chittagong,Chittagong,43,Anowara,Anwara,4,86,0,MATCH
67,Narayanganj,30,Dhaka,Dhaka,97.5,Araihazar,Araihazar,2,95,100,MATCH
87,Satkhira,40,Khulna,Khulna,94,Assasuni,Asasuni,4,88,100,MATCH
87,Satkhira,40,Khulna,Khulna,44,Assasuni,Asasuni,4,88,0,MATCH
12,Brahmanbaria,20,Chittagong,Chittagong,97,Ashuganj,Ashuganj,33,94,100,MATCH
76,Pabna,50,Rajshahi,Rajshahi,91,Atgharia,Atghoria,5,82,100,MATCH
76,Pabna,50,Rajshahi,Rajshahi,41,Atgharia,Atghoria,5,82,0,MATCH
77,Panchagarh,55,Rangpur,Rangpur,93,Atwari,Atowari,4,86,100,MATCH
77,Panchagarh,55,Rangpur,Rangpur,43,Atwari,Atowari,4,86,0,MATCH
72,Netrakona,30,Dhaka,Mymensingh,52.5,Atpara,Atpara,4,92,13,MATCH
72,Netrakona,30,Dhaka,Mymensingh,46,Atpara,Atpara,4,92,0,MATCH
64,Naogaon,50,Rajshahi,Rajshahi,95.5,Atrai,Atrai,3,91,100,MATCH
64,Naogaon,50,Rajshahi,Rajshahi,45.5,Atrai,Atrai,3,91,0,MATCH
48,Kishoreganj,30,Dhaka,Dhaka,97.5,Austagram,Austagram,2,95,100,MATCH
48,Kishoreganj,30,Dhaka,Dhaka,47.5,Austagram,Austagram,2,95,0,MATCH
36,Habiganj,60,Sylhet,Sylhet,93,Ajmiriganj,Azmiriganj,2,86,100,MATCH
36,Habiganj,60,Sylhet,Sylhet,43,Ajmiriganj,Azmiriganj,2,86,0,MATCH
6,Barisal,10,Barisal,Barisal,97,Babuganj,Babuganj,3,94,100,MATCH
64,Naogaon,50,Rajshahi,Rajshahi,98,Badalgachhi,Badalgachhi,6,96,100,MATCH
64,Naogaon,50,Rajshahi,Rajshahi,48,Badalgachhi,Badalgachhi,6,96,0,MATCH
85,Rangpur,55,Rangpur,Rangpur,97.5,Badarganj,Badarganj,3,95,100,MATCH
85,Rangpur,55,Rangpur,Rangpur,47.5,Badarganj,Badarganj,3,95,0,MATCH
69,Natore,50,Rajshahi,Rajshahi,97.5,Bagatipara,Bagatipara,9,95,100,MATCH
69,Natore,50,Rajshahi,Rajshahi,47.5,Bagatipara,Bagatipara,9,95,0,MATCH
1,Bagerhat,40,Khulna,Khulna,85,Bagerhat Sadar,Bagerhat,8,70,100,MATCH
72,Netrakona,30,Dhaka,Khulna,35.5,Barhatta,Bagerhat,9,71,0,MISSMATCH
81,Rajshahi,50,Rajshahi,Rajshahi,95.5,Bagha,Bagha,10,91,100,MATCH
81,Rajshahi,50,Rajshahi,Rajshahi,45.5,Bagha,Bagha,10,91,0,MATCH
84,Rangamati,20,Chittagong,Chittagong,98,Baghaichhari,Baghaichhari,7,96,100,MATCH
84,Rangamati,20,Chittagong,Chittagong,48,Baghaichhari,Baghaichhari,7,96,0,MATCH
41,Jessore,40,Khulna,Khulna,97.5,Bagherpara,Bagherpara,9,95,100,MATCH
41,Jessore,40,Khulna,Khulna,47.5,Bagherpara,Bagherpara,9,95,0,MATCH
81,Rajshahi,50,Rajshahi,Rajshahi,94,Baghmara,Bagmara,12,88,100,MATCH
81,Rajshahi,50,Rajshahi,Rajshahi,44,Baghmara,Bagmara,12,88,0,MATCH
36,Habiganj,60,Sylhet,Sylhet,96.5,Bahubal,Bahubal,5,93,100,MATCH
36,Habiganj,60,Sylhet,Sylhet,46.5,Bahubal,Bahubal,5,93,0,MATCH
6,Barisal,10,Barisal,Barisal,97.5,Bakerganj,Bakerganj,7,95,100,MATCH
39,Jamalpur,30,Dhaka,Mymensingh,54,Bakshiganj,Bakshiganj,7,95,13,MATCH
39,Jamalpur,30,Dhaka,Mymensingh,47.5,Bakshiganj,Bakshiganj,7,95,0,MATCH
91,Sylhet,60,Sylhet,Sylhet,97,Balaganj,Balaganj,8,94,100,MATCH
91,Sylhet,60,Sylhet,Sylhet,47,Balaganj,Balaganj,8,94,0,MATCH
94,Thakurgaon,55,Rangpur,Rangpur,97.5,Baliadangi,Baliadangi,8,95,100,MATCH
94,Thakurgaon,55,Rangpur,Rangpur,47.5,Baliadangi,Baliadangi,8,95,0,MATCH
82,Rajbari,30,Dhaka,Dhaka,97.5,Baliakandi,Baliakandi,7,95,100,MATCH
82,Rajbari,30,Dhaka,Dhaka,47.5,Baliakandi,Baliakandi,7,95,0,MATCH
6,Barisal,10,Barisal,Barisal,91,Banari Para,Banaripara,10,82,100,MATCH
12,Brahmanbaria,20,Chittagong,Chittagong,96,Banchharampur,Bancharampur,4,92,100,MATCH
67,Narayanganj,30,Dhaka,Dhaka,96,Bandar,Bandar,6,92,100,MATCH
3,Bandarban,20,Chittagong,Chittagong,86,Bandarban Sadar,Bandarban,14,72,100,MATCH
67,Narayanganj,30,Dhaka,Chittagong,37.5,Bandar,Bandarban,6,75,0,MISSMATCH
36,Habiganj,60,Sylhet,Sylhet,95.5,Baniachong,Baniachhong,11,91,100,MATCH
36,Habiganj,60,Sylhet,Sylhet,45.5,Baniachong,Baniachhong,11,91,0,MATCH
15,Chittagong,20,Chittagong,Chittagong,97.5,Banshkhali,Banshkhali,8,95,100,MATCH
15,Chittagong,20,Chittagong,Chittagong,47.5,Banshkhali,Banshkhali,8,95,0,MATCH
69,Natore,50,Rajshahi,Rajshahi,97.5,Baraigram,Baraigram,15,95,100,MATCH
69,Natore,50,Rajshahi,Rajshahi,47.5,Baraigram,Baraigram,15,95,0,MATCH
4,Barguna,10,Barisal,Barisal,83.5,Barguna Sadar,Barguna,28,67,100,MATCH
19,Comilla,20,Chittagong,Barisal,35.5,Barura,Barguna,9,71,0,MISSMATCH
72,Netrakona,30,Dhaka,Mymensingh,53.5,Barhatta,Barhatta,9,94,13,MATCH
72,Netrakona,30,Dhaka,Mymensingh,47,Barhatta,Barhatta,9,94,0,MATCH
6,Barisal,10,Barisal,Barisal,83.5,Barisal Sadar,Barisal,51,67,100,MATCH
84,Rangamati,20,Chittagong,Chittagong,96,Barkal,Barkal,21,92,100,MATCH
84,Rangamati,20,Chittagong,Chittagong,46,Barkal,Barkal,21,92,0,MATCH
58,Maulvibazar,60,Sylhet,Sylhet,97,Barlekha,Barlekha,14,94,100,MATCH
58,Maulvibazar,60,Sylhet,Sylhet,47,Barlekha,Barlekha,14,94,0,MATCH
19,Comilla,20,Chittagong,Chittagong,96,Barura,Barura,9,92,100,MATCH
19,Comilla,20,Chittagong,Chittagong,46,Barura,Barura,9,92,0,MATCH
93,Tangail,30,Dhaka,Dhaka,96,Basail,Basail,9,92,100,MATCH
93,Tangail,30,Dhaka,Dhaka,46,Basail,Basail,9,92,0,MATCH
47,Khulna,40,Khulna,Khulna,97.5,Batiaghata,Batiaghata,12,95,100,MATCH
47,Khulna,40,Khulna,Khulna,47.5,Batiaghata,Batiaghata,12,95,0,MATCH
78,Patuakhali,10,Barisal,Barisal,96.5,Bauphal,Bauphal,38,93,100,MATCH
78,Patuakhali,10,Barisal,Barisal,46.5,Bauphal,Bauphal,38,93,0,MATCH
48,Kishoreganj,30,Dhaka,Dhaka,91,Bajitpur,Bazitpur,6,82,100,MATCH
48,Kishoreganj,30,Dhaka,Dhaka,41,Bajitpur,Bazitpur,6,82,0,MATCH
75,Noakhali,20,Chittagong,Chittagong,97.5,Begumganj,Begumganj,7,95,100,MATCH
75,Noakhali,20,Chittagong,Chittagong,47.5,Begumganj,Begumganj,7,95,0,MATCH
68,Narsingdi,30,Dhaka,Dhaka,93,Belabo,Belaboo,7,86,100,MATCH
68,Narsingdi,30,Dhaka,Dhaka,43,Belabo,Belaboo,7,86,0,MATCH
84,Rangamati,20,Chittagong,Chittagong,91.5,Belai Chhari,Belaichhari,29,83,100,MATCH
84,Rangamati,20,Chittagong,Chittagong,41.5,Belai Chhari,Belaichhari,29,83,0,MATCH
88,Sirajganj,50,Rajshahi,Rajshahi,97,Belkuchi,Belkuchi,11,94,100,MATCH
88,Sirajganj,50,Rajshahi,Rajshahi,47,Belkuchi,Belkuchi,11,94,0,MATCH
76,Pabna,50,Rajshahi,Rajshahi,94.5,Bera,Bera,16,89,100,MATCH
76,Pabna,50,Rajshahi,Rajshahi,44.5,Bera,Bera,16,89,0,MATCH
4,Barguna,10,Barisal,Barisal,96,Betagi,Betagi,47,92,100,MATCH
4,Barguna,10,Barisal,Barisal,46,Betagi,Betagi,47,92,0,MATCH
61,Mymensingh,30,Dhaka,Mymensingh,53,Bhaluka,Bhaluka,13,93,13,MATCH
61,Mymensingh,30,Dhaka,Mymensingh,46.5,Bhaluka,Bhaluka,13,93,0,MATCH
79,Pirojpur,10,Barisal,Barisal,97.5,Bhandaria,Bhandaria,14,95,100,MATCH
79,Pirojpur,10,Barisal,Barisal,47.5,Bhandaria,Bhandaria,14,95,0,MATCH
29,Faridpur,30,Dhaka,Dhaka,96,Bhanga,Bhanga,10,92,100,MATCH
29,Faridpur,30,Dhaka,Dhaka,46,Bhanga,Bhanga,10,92,0,MATCH
76,Pabna,50,Rajshahi,Rajshahi,89,Bhangura,Bhangoora,19,78,100,MATCH
76,Pabna,50,Rajshahi,Rajshahi,39,Bhangura,Bhangoora,19,78,0,MATCH
48,Kishoreganj,30,Dhaka,Dhaka,90,Bhairab,Bhariab,11,80,100,MATCH
48,Kishoreganj,30,Dhaka,Dhaka,40,Bhairab,Bhariab,11,80,0,MATCH
86,Shariatpur,30,Dhaka,Dhaka,97.5,Bhedarganj,Bhedarganj,14,95,100,MATCH
50,Kushtia,40,Khulna,Khulna,97.5,Bheramara,Bheramara,15,95,100,MATCH
9,Bhola,10,Barisal,Barisal,79.5,Bhola Sadar,Bhola,18,59,100,MATCH
70,Chapai Nawabganj,50,Rajshahi,Barisal,35.5,Bholahat,Bhola,18,71,0,MISSMATCH
70,Chapai Nawabganj,50,Rajshahi,Rajshahi,97,Bholahat,Bholahat,18,94,100,MATCH
70,Chapai Nawabganj,50,Rajshahi,Rajshahi,47,Bholahat,Bholahat,18,94,0,MATCH
93,Tangail,30,Dhaka,Dhaka,96.5,Bhuapur,Bhuapur,19,93,100,MATCH
93,Tangail,30,Dhaka,Dhaka,46.5,Bhuapur,Bhuapur,19,93,0,MATCH
49,Kurigram,55,Rangpur,Rangpur,98,Bhurungamari,Bhurungamari,6,96,100,MATCH
49,Kurigram,55,Rangpur,Rangpur,48,Bhurungamari,Bhurungamari,6,96,0,MATCH
91,Sylhet,60,Sylhet,Sylhet,75,Bishwanath,Biani,20,50,100,MISS2 (geo from Geo var missing)
94,Thakurgaon,55,Rangpur,Sylhet,31,Baliadangi,Biani,8,62,0,MISS2 (geo from Geo var missing)
12,Brahmanbaria,20,Chittagong,Chittagong,81,Bijoynagar,Bijoy,7,62,100,MATCH
27,Dinajpur,55,Rangpur,Rangpur,97,Birampur,Birampur,10,94,100,MATCH
27,Dinajpur,55,Rangpur,Rangpur,47,Birampur,Birampur,10,94,0,MATCH
27,Dinajpur,55,Rangpur,Rangpur,96.5,Birganj,Birganj,12,93,100,MATCH
27,Dinajpur,55,Rangpur,Rangpur,46.5,Birganj,Birganj,12,93,0,MATCH
27,Dinajpur,55,Rangpur,Rangpur,86.5,Biral,Birol,17,73,100,MATCH
27,Dinajpur,55,Rangpur,Rangpur,36.5,Biral,Birol,17,73,0,MATCH
90,Sunamganj,60,Sylhet,Sylhet,94.5,Bishwambarpur,Bishwamvarpur,18,89,100,MATCH
90,Sunamganj,60,Sylhet,Sylhet,44.5,Bishwambarpur,Bishwamvarpur,18,89,0,MATCH
91,Sylhet,60,Sylhet,Sylhet,95,Bishwanath,Biswanath,20,90,100,MATCH
91,Sylhet,60,Sylhet,Sylhet,45,Bishwanath,Biswanath,20,90,0,MATCH
4,Barguna,10,Barisal,Barisal,90,Bamna,Bmna,19,80,100,MATCH
4,Barguna,10,Barisal,Barisal,40,Bamna,Bmna,19,80,0,MATCH
81,Rajshahi,50,Rajshahi,Rajshahi,81.5,Boalia Thana,Boalia,22,63,100,MATCH
65,Narail,40,Khulna,Rajshahi,33.5,Kalia,Boalia,28,67,0,MISSMATCH
15,Chittagong,20,Chittagong,Chittagong,97.5,Boalkhali,Boalkhali,12,95,100,MATCH
15,Chittagong,20,Chittagong,Chittagong,47.5,Boalkhali,Boalkhali,12,95,0,MATCH
29,Faridpur,30,Dhaka,Dhaka,97,Boalmari,Boalmari,18,94,100,MATCH
29,Faridpur,30,Dhaka,Dhaka,47,Boalmari,Boalmari,18,94,0,MATCH
27,Dinajpur,55,Rangpur,Rangpur,97.5,Bochaganj,Bochaganj,21,95,100,MATCH
27,Dinajpur,55,Rangpur,Rangpur,47.5,Bochaganj,Bochaganj,21,95,0,MATCH
77,Panchagarh,55,Rangpur,Rangpur,94.5,Boda,Boda,25,89,100,MATCH
77,Panchagarh,55,Rangpur,Rangpur,44.5,Boda,Boda,25,89,0,MATCH
76,Pabna,50,Rajshahi,Rajshahi,80,Bera,Bogra,16,60,100,MISS2 (geo from Geo var missing)
76,Pabna,50,Rajshahi,Rajshahi,30,Bera,Bogra,16,60,0,MISS2 (geo from Geo var missing)
9,Bhola,10,Barisal,Barisal,93.5,Burhanuddin,Borhanuddin,21,87,100,MATCH
9,Bhola,10,Barisal,Barisal,43.5,Burhanuddin,Borhanuddin,21,87,0,MATCH
19,Comilla,20,Chittagong,Chittagong,91.5,Brahmanpara,Brahmanbaria,15,83,100,MISS2 (geo from Geo var missing)
19,Comilla,20,Chittagong,Chittagong,98,Brahmanpara,Brahmanpara,15,96,100,MATCH
19,Comilla,20,Chittagong,Chittagong,48,Brahmanpara,Brahmanpara,15,96,0,MATCH
19,Comilla,20,Chittagong,Chittagong,92,Burichang,Burichong,18,84,100,MATCH
19,Comilla,20,Chittagong,Chittagong,42,Burichang,Burichong,18,84,0,MATCH
22,Cox's Bazar,20,Chittagong,Chittagong,91,Chakoria,Chakaria,16,82,100,MATCH
22,Cox's Bazar,20,Chittagong,Chittagong,41,Chakoria,Chakaria,16,82,0,MATCH
19,Comilla,20,Chittagong,Chittagong,97,Chandina,Chandina,27,94,100,MATCH
19,Comilla,20,Chittagong,Chittagong,47,Chandina,Chandina,27,94,0,MATCH
15,Chittagong,20,Chittagong,Chittagong,89,Chandanaish,Chandlaish,18,78,100,MATCH
15,Chittagong,20,Chittagong,Chittagong,39,Chandanaish,Chandlaish,18,78,0,MATCH
13,Chandpur,20,Chittagong,Chittagong,85,Chandpur Sadar,Chandpur,22,70,100,MATCH
81,Rajshahi,50,Rajshahi,Chittagong,35.5,Mohanpur,Chandpur,53,71,0,MISSMATCH
88,Sirajganj,50,Rajshahi,Rajshahi,83.5,Chauhali,Chapai,27,67,100,MISS2 (geo from Geo var missing)
88,Sirajganj,50,Rajshahi,Rajshahi,33.5,Chauhali,Chapai,27,67,0,MISS2 (geo from Geo var missing)
26,Dhaka,30,Dhaka,Dhaka,80,Dohar,Char,18,60,100,MISS2 (geo from Geo var missing)
49,Kurigram,55,Rangpur,Rangpur,81,Chilmari,Char,9,62,100,MISSMATCH
49,Kurigram,55,Rangpur,Rangpur,31,Chilmari,Char,9,62,0,MISSMATCH
49,Kurigram,55,Rangpur,Dhaka,31,Chilmari,Char,9,62,0,MISSMATCH
9,Bhola,10,Barisal,Barisal,85,Char Fasson,Charfashion,25,70,100,MATCH
9,Bhola,10,Barisal,Barisal,35,Char Fasson,Charfashion,25,70,0,MATCH
81,Rajshahi,50,Rajshahi,Rajshahi,97,Charghat,Charghat,25,94,100,MATCH
81,Rajshahi,50,Rajshahi,Rajshahi,47,Charghat,Charghat,25,94,0,MATCH
75,Noakhali,20,Chittagong,Chittagong,97,Chatkhil,Chatkhil,10,94,100,MATCH
75,Noakhali,20,Chittagong,Chittagong,47,Chatkhil,Chatkhil,10,94,0,MATCH
76,Pabna,50,Rajshahi,Rajshahi,92,Chatmohar,Chatmohor,22,84,100,MATCH
76,Pabna,50,Rajshahi,Rajshahi,42,Chatmohar,Chatmohor,22,84,0,MATCH
30,Feni,20,Chittagong,Chittagong,98,Chhagalnaiya,Chhagalnaiya,14,96,100,MATCH
30,Feni,20,Chittagong,Chittagong,48,Chhagalnaiya,Chhagalnaiya,14,96,0,MATCH
90,Sunamganj,60,Sylhet,Sylhet,96.5,Chhatak,Chhatak,23,93,100,MATCH
90,Sunamganj,60,Sylhet,Sylhet,46.5,Chhatak,Chhatak,23,93,0,MATCH
49,Kurigram,55,Rangpur,Rangpur,97,Chilmari,Chilmari,9,94,100,MATCH
49,Kurigram,55,Rangpur,Rangpur,47,Chilmari,Chilmari,9,94,0,MATCH
49,Kurigram,55,Rangpur,Rangpur,83.5,Chilmari,Chirir,9,67,100,MISS2 (geo from Geo var missing)
49,Kurigram,55,Rangpur,Rangpur,33.5,Chilmari,Chirir,9,67,0,MISS2 (geo from Geo var missing)
1,Bagerhat,40,Khulna,Khulna,97.5,Chitalmari,Chitalmari,14,95,100,MATCH
1,Bagerhat,40,Khulna,Khulna,47.5,Chitalmari,Chitalmari,14,95,0,MATCH
19,Comilla,20,Chittagong,Chittagong,93.5,Chauddagram,Chouddagram,31,87,100,MATCH
19,Comilla,20,Chittagong,Chittagong,43.5,Chauddagram,Chouddagram,31,87,0,MATCH
88,Sirajganj,50,Rajshahi,Rajshahi,91,Chauhali,Chouhali,27,82,100,MATCH
88,Sirajganj,50,Rajshahi,Rajshahi,41,Chauhali,Chouhali,27,82,0,MATCH
41,Jessore,40,Khulna,Khulna,88,Chaugachha,Chowgachha,11,76,100,MATCH
41,Jessore,40,Khulna,Khulna,38,Chaugachha,Chowgachha,11,76,0,MATCH
18,Chuadanga,40,Khulna,Khulna,86,Chuadanga Sadar,Chuadanga,23,72,100,MATCH
18,Chuadanga,40,Khulna,Khulna,36,Chuadanga Sadar,Chuadanga,23,72,0,MATCH
36,Habiganj,60,Sylhet,Sylhet,98,Chunarughat,Chunarughat,26,96,100,MATCH
36,Habiganj,60,Sylhet,Sylhet,48,Chunarughat,Chunarughat,26,96,0,MATCH
75,Noakhali,20,Chittagong,Chittagong,76.5,Companiganj,Comilla,21,53,100,MISS2 (geo from Geo var missing)
91,Sylhet,60,Sylhet,Chittagong,26.5,Companiganj,Comilla,27,53,0,MISS2 (geo from Geo var missing)
91,Sylhet,60,Sylhet,Sylhet,98,Companiganj,Companiganj,27,96,100,MATCH
75,Noakhali,20,Chittagong,Chittagong,98,Companiganj,Companiganj,21,96,100,MATCH
75,Noakhali,20,Chittagong,Chittagong,48,Companiganj,Companiganj,21,96,0,MATCH
75,Noakhali,20,Chittagong,Sylhet,48,Companiganj,Companiganj,21,96,0,MISSMATCH
22,Cox's Bazar,20,Chittagong,Chittagong,68,Cox's Bazar Sadar,Coxs,24,36,100,MATCH
64,Naogaon,50,Rajshahi,Chittagong,18,Porsha,Coxs,79,36,0,MISSMATCH
47,Khulna,40,Khulna,Khulna,96,Dacope,Dacope,17,92,100,MATCH
47,Khulna,40,Khulna,Khulna,46,Dacope,Dacope,17,92,0,MATCH
30,Feni,20,Chittagong,Chittagong,94,Daganbhuiyan,Dagonbhuiyan,25,88,100,MATCH
30,Feni,20,Chittagong,Chittagong,44,Daganbhuiyan,Dagonbhuiyan,25,88,0,MATCH
86,Shariatpur,30,Dhaka,Dhaka,87.5,Damudya,Damoddya,25,75,100,MATCH
18,Chuadanga,40,Khulna,Khulna,97.5,Damurhuda,Damurhuda,31,95,100,MATCH
18,Chuadanga,40,Khulna,Khulna,47.5,Damurhuda,Damurhuda,31,95,0,MATCH
78,Patuakhali,10,Barisal,Barisal,97,Dashmina,Dashmina,52,94,100,MATCH
78,Patuakhali,10,Barisal,Barisal,47,Dashmina,Dashmina,52,94,0,MATCH
19,Comilla,20,Chittagong,Chittagong,97.5,Daudkandi,Daudkandi,36,95,100,MATCH
19,Comilla,20,Chittagong,Chittagong,47.5,Daudkandi,Daudkandi,36,95,0,MATCH
9,Bhola,10,Barisal,Barisal,91,Daulat Khan,Daulatkhan,29,82,100,MATCH
9,Bhola,10,Barisal,Barisal,41,Daulat Khan,Daulatkhan,29,82,0,MATCH
